Unknown,"2024-03-29 15:43:41,183, INFO, yardley started the Calculator App"
yardley,"2024-03-29 15:43:46,955, INFO, Operation add with numbers 1.0 and 2.0"
yardley,"2024-03-29 15:43:46,956, INFO, Result of add: 3.0"
Unknown,"2024-03-29 16:03:57,811, INFO, yardley exited the application."
Unknown,"2024-03-29 16:35:19,404, INFO, yardley started the Calculator App"
